Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),skills_normalized,skills_count,experience_level,experience_years,experience_level_numeric,job_role_normalized,job_category,education_normalized,education_level,decision_binary,skill_c++,skill_cybersecurity,skill_deep learning,skill_ethical hacking,skill_java,skill_linux,skill_machine learning,skill_natural language processing,skill_networking,skill_python,skill_pytorch,skill_react.js,skill_sql,skill_tensorflow
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002,1,100,"['python', 'machine learning', 'deep learning', 'sql']",4,fresher,10,0,data scientist,data_science,MBA,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
17,Megan Brown,"SQL, Python",10,PhD,,Data Scientist,Hire,115364,2,100,"['python', 'sql']",2,fresher,10,0,data scientist,data_science,PHD,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,,Data Scientist,Hire,112439,10,95,"['python', 'deep learning', 'sql']",3,mid-level,3,2,data scientist,data_science,MBA,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
20,Jennifer Collins,"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,100,"['python', 'machine learning', 'sql']",3,fresher,10,0,data scientist,data_science,B.TECH,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
23,William Clark,"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,107045,8,100,"['machine learning', 'deep learning', 'sql']",3,mid-level,4,2,data scientist,data_science,MBA,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,"['python', 'sql']",2,fresher,10,0,data scientist,data_science,B.TECH,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,Abigail Watts,"Python, SQL",4,PhD,,Data Scientist,Hire,84679,10,100,"['python', 'sql']",2,mid-level,4,2,data scientist,data_science,PHD,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,100,"['python', 'machine learning', 'deep learning', 'sql']",4,senior,8,3,data scientist,data_science,M.TECH,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
40,Kim Blake,"SQL, Python",1,MBA,AWS Certified,Data Scientist,Hire,52364,8,70,"['python', 'sql']",2,fresher,1,0,data scientist,data_science,MBA,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44,Denise Ramirez,"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,70,"['python', 'machine learning']",2,fresher,1,0,data scientist,data_science,MBA,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,Tanya West,"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,Hire,95486,6,95,"['python', 'machine learning', 'sql']",3,mid-level,4,2,data scientist,data_science,M.TECH,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
48,Christopher Stevenson,"Python, Machine Learning",8,PhD,Google ML,Data Scientist,Hire,103477,9,100,"['python', 'machine learning']",2,senior,8,3,data scientist,data_science,PHD,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,James Bailey,"SQL, Deep Learning, Machine Learning",1,MBA,,Data Scientist,Reject,54006,4,45,"['machine learning', 'deep learning', 'sql']",3,fresher,1,0,data scientist,data_science,MBA,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
