Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),skills_normalized,skills_count,experience_level,experience_years,experience_level_numeric,job_role_normalized,job_category,education_normalized,education_level,decision_binary,skill_c++,skill_cybersecurity,skill_deep learning,skill_ethical hacking,skill_java,skill_linux,skill_machine learning,skill_natural language processing,skill_networking,skill_python,skill_pytorch,skill_react.js,skill_sql,skill_tensorflow
5,Julie Hill,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441,9,100,"['react.js', 'java', 'sql']",3,mid-level,4,2,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
11,Laura French,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7,70,"['java', 'c++', 'sql']",3,fresher,1,0,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
14,Caitlin Myers,"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10,100,"['java', 'c++', 'sql']",3,mid-level,4,2,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,,Software Engineer,Hire,57546,4,90,"['java', 'c++', 'react.js', 'sql']",4,mid-level,5,2,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
38,Jason Flores,"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,Hire,97505,7,100,"['java', 'c++', 'sql']",3,mid-level,5,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
41,Lindsey Jackson,"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,100,"['react.js', 'c++']",2,fresher,10,0,software engineer,software_development,MBA,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,Ryan Peters,"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,"['java', 'sql']",2,mid-level,5,2,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
47,Terry Burns,"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100,"['java', 'c++', 'react.js', 'sql']",4,mid-level,4,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
49,David Nash,"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,46437,9,80,"['react.js', 'java', 'sql']",3,fresher,1,0,software engineer,software_development,MBA,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
57,Rachel Wheeler,"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,"['react.js', 'c++', 'sql', 'java']",4,mid-level,3,2,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
60,Sarah Kane,"Java, React",6,PhD,Google ML,Software Engineer,Hire,80278,4,100,"['react.js', 'java']",2,senior,6,3,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
64,Joanna Foster,"C++, React, Java, SQL",9,M.Tech,,Software Engineer,Hire,99057,8,100,"['react.js', 'c++', 'sql', 'java']",4,senior,9,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
66,Cynthia Simmons,"Java, React, C++",1,PhD,,Software Engineer,Reject,62647,3,40,"['react.js', 'c++', 'java']",3,fresher,1,0,software engineer,software_development,PHD,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
67,Brittney Mccormick,"Java, C++, React, SQL",8,B.Sc,,Software Engineer,Hire,89042,1,100,"['react.js', 'c++', 'sql', 'java']",4,senior,8,3,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
74,Donald Duffy,"Java, SQL",5,MBA,AWS Certified,Software Engineer,Hire,40914,6,100,"['sql', 'java']",2,mid-level,5,2,software engineer,software_development,MBA,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
76,Carolyn James,"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155,8,100,"['react.js', 'sql', 'c++', 'java']",4,mid-level,4,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
82,Melissa Clark,"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,107085,10,80,"['react.js', 'c++']",2,fresher,1,0,software engineer,software_development,PHD,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
83,Ryan Moore,"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,51284,4,100,"['c++', 'java']",2,senior,9,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Lisa Navarro,"Java, SQL, C++",0,B.Sc,AWS Certified,Software Engineer,Reject,52290,2,35,"['sql', 'c++', 'java']",3,fresher,0,0,software engineer,software_development,B.SC,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
86,Renee Patterson MD,"Java, React, C++",8,M.Tech,,Software Engineer,Hire,87272,2,100,"['react.js', 'c++', 'java']",3,senior,8,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
89,Jose Mclaughlin,"React, SQL, Java",5,PhD,Google ML,Software Engineer,Hire,102333,10,100,"['react.js', 'java', 'sql']",3,mid-level,5,2,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
95,Madison Dunn,"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,Hire,113365,8,100,"['sql', 'c++', 'java']",3,senior,9,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
100,Sandra Perkins,"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,Hire,67745,3,100,"['java', 'react.js', 'sql']",3,senior,6,3,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
105,Miguel Dunn,"Java, SQL",5,B.Tech,Google ML,Software Engineer,Hire,81801,1,75,"['sql', 'java']",2,mid-level,5,2,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
111,Austin Hunter,"Java, React",9,B.Tech,Google ML,Software Engineer,Hire,117897,0,100,"['react.js', 'java']",2,senior,9,3,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
115,Meagan King,"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,85561,2,50,"['c++', 'java']",2,junior,2,1,software engineer,software_development,MBA,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
118,Mariah Randolph,"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,100,"['react.js', 'c++', 'java']",3,mid-level,5,2,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
119,Sandra Freeman,"React, Java, SQL",4,MBA,Google ML,Software Engineer,Hire,99599,9,100,"['react.js', 'sql', 'java']",3,mid-level,4,2,software engineer,software_development,MBA,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
120,Joseph Carroll,"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,100,"['react.js', 'c++', 'sql', 'java']",4,mid-level,5,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
121,Cynthia Espinoza,"Java, React",6,B.Sc,Google ML,Software Engineer,Hire,62463,0,80,"['react.js', 'java']",2,senior,6,3,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
124,Haley Gonzalez,"SQL, Java",1,PhD,AWS Certified,Software Engineer,Hire,74663,9,75,"['java', 'sql']",2,fresher,1,0,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
125,Jaime Wilson,"Java, C++, React",6,MBA,AWS Certified,Software Engineer,Hire,64025,10,100,"['react.js', 'c++', 'java']",3,senior,6,3,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
